POS,ODR,POF,ideal_prob
0.897,8.708,0.103,0.0
0.024,0.025,0.976,1.0
0.015,0.015,0.985,1.0
0.048,0.051,0.952,0.0
0.006,0.006,0.994,1.0
0.002,0.002,0.998,1.0
0.006,0.006,0.994,1.0
0.004,0.004,0.996,1.0
0.209,0.265,0.791,0.0
0.223,0.287,0.777,0.0
0.03,0.031,0.97,0.0
0.032,0.033,0.968,0.0
0.222,0.286,0.778,0.0
0.224,0.289,0.776,0.0
0.03,0.031,0.97,0.0
0.029,0.03,0.971,0.0
0.801,4.033,0.199,0.0
0.147,0.173,0.853,0.0
0.012,0.012,0.988,1.0
0.007,0.007,0.993,1.0
0.021,0.021,0.979,1.0
0.005,0.005,0.995,1.0
0.004,0.004,0.996,1.0
0.001,0.001,0.999,1.0
0.93,13.225,0.07,0.0
0.019,0.019,0.981,1.0
0.021,0.021,0.979,1.0
0.002,0.002,0.998,1.0
0.018,0.018,0.982,1.0
0.003,0.003,0.997,1.0
0.005,0.005,0.995,1.0
0.002,0.002,0.998,1.0
0.823,4.66,0.177,0.0
0.12,0.137,0.88,0.0
0.022,0.023,0.978,1.0
0.004,0.004,0.996,1.0
0.006,0.006,0.994,1.0
0.017,0.017,0.983,1.0
0.004,0.004,0.996,1.0
0.002,0.002,0.998,1.0
0.19,0.235,0.81,0.0
0.194,0.241,0.806,0.0
0.054,0.057,0.946,0.0
0.056,0.059,0.944,0.0
0.052,0.055,0.948,0.0
0.059,0.063,0.941,0.0
0.189,0.234,0.811,0.0
0.198,0.247,0.802,0.0
0.521,1.09,0.479,0.0
0.431,0.756,0.569,0.0
0.013,0.013,0.987,1.0
0.01,0.01,0.99,1.0
0.008,0.008,0.992,1.0
0.002,0.002,0.998,1.0
0.011,0.011,0.989,1.0
0.002,0.002,0.998,1.0
0.112,0.127,0.888,0.0
0.138,0.16,0.862,0.0
0.11,0.124,0.89,0.0
0.109,0.122,0.891,0.0
0.146,0.172,0.854,0.0
0.138,0.16,0.862,0.0
0.106,0.119,0.894,0.0
0.138,0.16,0.862,0.0
0.649,1.852,0.351,0.0
0.351,0.54,0.649,0.0
0.802,4.045,0.198,0.0
0.145,0.169,0.855,0.0
0.019,0.019,0.981,1.0
0.003,0.003,0.997,1.0
0.009,0.009,0.991,1.0
0.014,0.014,0.986,1.0
0.002,0.002,0.998,1.0
0.002,0.002,0.998,1.0
0.203,0.255,0.797,0.0
0.045,0.047,0.955,0.0
0.205,0.257,0.795,0.0
0.203,0.254,0.797,0.0
0.204,0.256,0.796,0.0
0.043,0.045,0.957,0.0
0.047,0.05,0.953,0.0
0.049,0.051,0.951,0.0
0.926,12.564,0.074,0.0
0.074,0.08,0.926,0.0
0.078,0.085,0.922,0.0
0.079,0.085,0.921,0.0
0.17,0.205,0.83,0.0
0.168,0.203,0.832,0.0
0.087,0.095,0.913,0.0
0.076,0.082,0.924,0.0
0.174,0.211,0.826,0.0
0.164,0.196,0.836,0.0
0.571,1.33,0.429,0.0
0.375,0.601,0.625,0.0
0.008,0.008,0.992,1.0
0.018,0.018,0.982,1.0
0.01,0.01,0.99,1.0
0.01,0.01,0.99,1.0
0.002,0.002,0.998,1.0
0.004,0.004,0.996,1.0
0.076,0.082,0.924,0.0
0.167,0.2,0.833,0.0
0.078,0.084,0.922,0.0
0.179,0.218,0.821,0.0
0.177,0.215,0.823,0.0
0.078,0.084,0.922,0.0
0.169,0.204,0.831,0.0
0.08,0.086,0.92,0.0
0.123,0.14,0.877,0.0
0.121,0.137,0.879,0.0
0.125,0.143,0.875,0.0
0.124,0.142,0.876,0.0
0.132,0.153,0.868,0.0
0.128,0.147,0.872,0.0
0.121,0.137,0.879,0.0
0.131,0.151,0.869,0.0
0.131,0.151,0.869,0.0
0.116,0.131,0.884,0.0
0.118,0.133,0.882,0.0
0.115,0.13,0.885,0.0
0.14,0.163,0.86,0.0
0.113,0.128,0.887,0.0
0.13,0.149,0.87,0.0
0.136,0.157,0.864,0.0
0.569,1.322,0.431,0.0
0.431,0.757,0.569,0.0
0.229,0.298,0.771,0.0
0.235,0.308,0.765,0.0
0.229,0.296,0.771,0.0
0.231,0.3,0.769,0.0
0.016,0.016,0.984,0.0
0.021,0.021,0.979,0.0
0.02,0.02,0.98,0.0
0.017,0.017,0.983,0.0
0.89,8.062,0.11,0.0
0.11,0.124,0.89,0.0
0.959,23.678,0.041,0.0
0.041,0.042,0.959,0.0
0.149,0.175,0.851,0.0
0.153,0.18,0.847,0.0
0.157,0.187,0.843,0.0
0.154,0.182,0.846,0.0
0.095,0.105,0.905,0.0
0.099,0.109,0.901,0.0
0.092,0.101,0.908,0.0
0.094,0.104,0.906,0.0
0.791,3.774,0.209,0.0
0.155,0.184,0.845,0.0
0.021,0.021,0.979,1.0
0.008,0.008,0.992,1.0
0.003,0.003,0.997,1.0
0.002,0.002,0.998,1.0
0.016,0.016,0.984,1.0
0.004,0.004,0.996,1.0
0.164,0.196,0.836,0.0
0.17,0.205,0.83,0.0
0.086,0.094,0.914,0.0
0.174,0.211,0.826,0.0
0.076,0.082,0.924,0.0
0.172,0.208,0.828,0.0
0.077,0.084,0.923,0.0
0.081,0.088,0.919,0.0
0.866,6.447,0.134,0.0
0.077,0.084,0.923,0.0
0.021,0.021,0.979,1.0
0.018,0.018,0.982,1.0
0.007,0.007,0.993,1.0
0.003,0.003,0.997,1.0
0.004,0.004,0.996,1.0
0.002,0.002,0.998,1.0
0.259,0.349,0.741,0.0
0.685,2.17,0.315,0.0
0.012,0.012,0.988,1.0
0.01,0.01,0.99,1.0
0.018,0.018,0.982,1.0
0.007,0.007,0.993,1.0
0.004,0.004,0.996,1.0
0.002,0.002,0.998,1.0
0.774,3.434,0.226,0.0
0.18,0.219,0.82,0.0
0.003,0.003,0.997,1.0
0.016,0.016,0.984,1.0
